"GOOG","Alphabet Inc.","2/18/2016",705.7345,N/A,29.9129
"FB","Facebook, Inc.","2/18/2016",104.40,N/A,80.74
"MSFT","Microsoft Corporation","2/18/2016",52.78,2.85,37.35
"AAPL","Apple Inc.","2/18/2016",97.3281,2.2100,10.3574
"YHOO","Yahoo! Inc.","2/18/2016",29.73,N/A,N/A
"ORCL","Oracle Corporation Common Stock","2/18/2016",36.6175,1.6900,17.6555
"BP","BP p.l.c. Common Stock","2/18/2016",29.965,8.270,N/A
"EMC","EMC Corporation Common Stock","2/18/2016",25.05,1.91,24.80
"DIS","Walt Disney Company (The) Commo","2/18/2016",95.33,1.56,17.82
"BAC","Bank of America Corporation Com","2/18/2016",12.4499,1.6700,9.5037
"WFC","Wells Fargo & Company Common St","2/18/2016",47.86,3.17,11.53
"EBAY","eBay Inc.","2/18/2016",23.335,N/A,16.456
"AKAM","Akamai Technologies, Inc.","2/18/2016",53.88,N/A,30.27
"CSCO","Cisco Systems, Inc.","2/18/2016",26.46,4.14,13.10
"CA","CA Inc.","2/18/2016",28.99,3.61,16.69
"IBM","International Business Machines","2/18/2016",133.35,4.30,9.93
"HPQ","HP Inc. Common Stock","2/18/2016",10.405,5.270,4.196
"INTC","Intel Corporation","2/18/2016",29.7101,3.6300,12.7511
"GULF","WisdomTree Middle East Dividend","2/17/2016",16.08,N/A,N/A
"XOM","Exxon Mobil Corporation Common ","2/18/2016",82.78,3.60,21.50
"TSLA","Tesla Motors, Inc.","2/18/2016",169.24,N/A,N/A
"TGT","Target Corporation Common Stock","2/18/2016",71.20,3.20,N/A
"WMT","Wal-Mart Stores, Inc. Common St","2/18/2016",63.07,2.96,13.50
"GDDY","GoDaddy Inc. Class A Common Sto","2/18/2016",28.9499,N/A,N/A
"WIFI","Boingo Wireless, Inc.","2/18/2016",5.875,N/A,N/A
"VNET","21Vianet Group, Inc.","2/18/2016",18.55,N/A,N/A
"AGTK","AGRITEK HOLDINGS","2/18/2016",0.0035,N/A,N/A
"AKAM","Akamai Technologies, Inc.","2/18/2016",53.88,N/A,30.27
"BIDU","Baidu, Inc.","2/18/2016",163.31,N/A,31.65
"BLNKF","BLINKX PLC","2/17/2016",0.335,N/A,N/A
"BCOR","Blucora, Inc.","2/18/2016",6.34,0.00,N/A
"MEET","MeetMe, Inc.","2/18/2016",3.13,N/A,195.62
"TWTR","Twitter, Inc. Common Stock","2/18/2016",17.8201,N/A,N/A
"RAX","Rackspace Hosting, Inc Common S","2/18/2016",20.46,N/A,22.73
"TRON","TORON INC","2/18/2016",0.0003,N/A,N/A
"YAHOY","YAHOO JAPAN CORP","2/18/2016",7.66,1.95,13.30
