"GOOG","Alphabet Inc.","2/18/2016",702.81,N/A,29.79
"FB","Facebook, Inc.","2/18/2016",103.792,N/A,80.272
"MSFT","Microsoft Corporation","2/18/2016",52.59,2.85,37.22
"AAPL","Apple Inc.","2/18/2016",97.12,2.21,10.34
"YHOO","Yahoo! Inc.","2/18/2016",29.6699,N/A,N/A
"ORCL","Oracle Corporation Common Stock","2/18/2016",36.59,1.69,17.64
"BP","BP p.l.c. Common Stock","2/18/2016",30.0301,8.2700,N/A
"EMC","EMC Corporation Common Stock","2/18/2016",25.05,1.91,24.80
"DIS","Walt Disney Company (The) Commo","2/18/2016",94.995,1.560,17.753
"BAC","Bank of America Corporation Com","2/18/2016",12.33,1.67,9.41
"WFC","Wells Fargo & Company Common St","2/18/2016",47.788,3.170,11.515
"EBAY","eBay Inc.","2/18/2016",23.37,N/A,16.48
"AKAM","Akamai Technologies, Inc.","2/18/2016",53.52,N/A,30.07
"CSCO","Cisco Systems, Inc.","2/18/2016",26.50,4.14,13.12
"CA","CA Inc.","2/18/2016",28.93,3.61,16.66
"IBM","International Business Machines","2/18/2016",133.356,4.300,9.935
"HPQ","HP Inc. Common Stock","2/18/2016",10.365,5.270,4.179
"INTC","Intel Corporation","2/18/2016",29.64,3.63,12.72
"GULF","WisdomTree Middle East Dividend","2/17/2016",16.08,N/A,N/A
"XOM","Exxon Mobil Corporation Common ","2/18/2016",82.73,3.60,21.49
"TSLA","Tesla Motors, Inc.","2/18/2016",169.34,N/A,N/A
"TGT","Target Corporation Common Stock","2/18/2016",71.49,3.20,N/A
"WMT","Wal-Mart Stores, Inc. Common St","2/18/2016",63.345,2.960,13.561
"GDDY","GoDaddy Inc. Class A Common Sto","2/18/2016",28.79,N/A,N/A
"WIFI","Boingo Wireless, Inc.","2/18/2016",5.88,N/A,N/A
"VNET","21Vianet Group, Inc.","2/18/2016",18.56,N/A,N/A
"AGTK","AGRITEK HOLDINGS","2/18/2016",0.0035,N/A,N/A
"AKAM","Akamai Technologies, Inc.","2/18/2016",53.52,N/A,30.07
"BIDU","Baidu, Inc.","2/18/2016",161.49,N/A,31.30
"BLNKF","BLINKX PLC","2/17/2016",0.335,N/A,N/A
"BCOR","Blucora, Inc.","2/18/2016",6.34,0.00,N/A
"MEET","MeetMe, Inc.","2/18/2016",3.10,N/A,193.75
"TWTR","Twitter, Inc. Common Stock","2/18/2016",17.63,N/A,N/A
"RAX","Rackspace Hosting, Inc Common S","2/18/2016",20.46,N/A,22.73
"TRON","TORON INC","2/18/2016",0.0003,N/A,N/A
"YAHOY","YAHOO JAPAN CORP","2/18/2016",7.74,1.95,13.44
